Frog:David, 2011:12/34/3:12678/345678/3:5:0:-1:4:3:A2.A$A2.A$.2A!
:Lemon41625, 2020:235/267/3:2358/2678/3:3:0:-2:30:48:6.A.A2.A.A2.A.A2.A.A$5.2AB4AB4AB4AB2A$6.BAB2.BAB2.BAB2.BAB$4.3A.4A.4A.4A.3A$2.2A22.2A$2.A.4AB2.BAB2.BAB2.B4A.A$.2A3.B.A2.A.A2.A.A2.A.B3.2A$A3.B.A6.A2.A6.A.B3.A$.B.2A2.2A3.2B2.2B3.2A2.2A.B$2.A2.A.A4.A4.A4.A.A2.A$3.BA2.A2B4.2B4.2BA2.AB$5.A.A.A4.2A4.A.A.A$3.2A2.A14.A2.2A$3.B.A.A5.B2.B5.A.A.B$5.B.A5.A2.A5.A.B$7.A6.2B6.A$7.A6.2A6.A$2.A.A2.A14.A2.A.A$.2AB2A.A3.3A2.3A3.A.2AB2A$2.BAB2.A3.A.A2.A.A3.A2.BAB$3A.BA.A2.2A.4A.2A2.A.AB.3A$B2.A.A.A.A4.2B4.A.A.A.A2.B$2.A2.A.A.A2.B.2B.B2.A.A.A2.A$3.AB2.BA.B2.A2.A2.B.AB2.BA$.BA4.AB4.A2.A4.BA4.AB$4.2A3.A.A.4A.A.A3.2A$3.B.BA.A.AB.A2.A.BA.A.AB.B$2.A2.A2.2A.A.A2.A.A.2A2.A2.A$2.BA2.A.A4.A2.A4.A.A2.AB$4.BA2.A.A2.4A2.A.A2.AB$6.A.A.A2B4.2BA.A.A$4.2A2.A2.AB4.BA2.A2.2A$4.B.A.A.B2.B2.B2.B.A.A.B$6.B.A12.A.B$8.A3.A4.A3.A$8.A2.A.A2.A.A2.A$8.A.2A.4A.2A.A$8.A3.B.2A.B3.A$8.A.AB.4A.BA.A$8.BA2B6.2BAB$7.3A2.A4.A2.3A$11.3A2.3A$8.B.A8.A.B$11.2AB2.B2A$9.2A2.A2.A2.2A$9.B.B6.B.B$9.A.A6.A.A$10.B8.B!
:Yujh, 2020:23/34/3:235678/3478/3:2:0:-1:15:6:6.3A$4.3A.3A$2.3A2.A2.3A$.2A2.A.A.A2.2A$AB.AB.B.B.BA.BA$BAB9.BAB!
:Yujh, 2020:23/3/3:2378/38/3:3:0:-1:17:10:2.2A9.2A$2.2AB2A3.2AB2A$.A3.2A3.2A3.A$.A.BA2.A.A2.AB.A$AB2.4A.4A2.BA$A.A2B.A3.A.2BA.A$4.9A$6.5B$6.A3BA$7.3A!
:goldtiger997, 2017:12/34/3:12/3478/3:22:4:0:7:9:2.A$.A3.2A$4.2A$3.A$2.A$2.A2.A$3.2A$A$.A!
:Lemon41625, 2020:1/2/3:145678/245678/3:3:0:-2:3:2:3A$.A!
:Lemon41625, 2020:45/23/3:124578/2345678/3:1:0:-1:6:6:.4A$6A$BA2BAB$.B2.B$A4.A$B4.B!
:Lemon41625, 2020:245/345/3:024578/345678/3:2:0:-1:9:8:3.A$2.2AB3A$2A2.A.3A$B2AB.A.A$AB2A3B.B$BAB.2A$2.A2B$2.BA!
:Lemon41625, 2020:35/23/3:35678/23578/3:4:-1:-1:11:11:6.A$5.B.BA$4.2A.2AB$3.B.2B3A$2.A2.2A.2B$.BABA2.A2.A$A2.BA3.2B$.B2A.A2.A$.3AB.BA$2.BAB.B$5.A!
:Lemon41625, 2020:23/356/3:023678/35678/3:3:0:-1:16:10:2.A10.A$.4A6.4A$A3.2A4.2A3.A$.B.A.2A2.2A.A.B$5A.A2.A.5A$2.A2.6A2.A$3.2A2.2A2.2A$2.B4A2.4AB$5.A4BA$6.A2BA!
:Lemon41625, 2020:1345/34/3:134578/3478/3:2:0:-1:7:7:.A3.A$3A.3A$ABABABA$2.A.A$2A.B.2A$B5.B$.A3.A!
:Lemon41625, 2020:2356/367/3:23568/3678/3:3:0:-1:20:15:5.A8.A$.3AB3A4.3AB3A$A2B.A.2A4.2A.A.2BA$B2AB4.A2.A4.B2AB$8.A2BA$5.3AB2.B3A$3.A.4A2.4A.A$2.4AB6.B4A$2.3BA2.B2AB2.A3B$2.A3BA.4A.A3BA$4.2AB2A2.2AB2A$3.A2B2.4A2.2BA$3.A.B2A4.2AB.A$6.A6.A$6.B2.2B2.B!
:Lemon41625, 2020:2356/367/3:02356/3678/3:4:-1:0:14:9:6.2A$.3A.2A2BA3.B$3A.2A2.A2.2A$.B2A.A.2A2.2A$2.B2A4.A$.B2A.A.2A2.2A$3A.2A2.A2.2A$.3A.2A2BA3.B$6.2A!
:Lemon41625, 2020:235/36/3:023568/3678/3:2:-1:0:7:7:5.2A$3.2AB$.2ABAB$2AB2.2A$.2ABAB$3.2AB$5.2A!
:Lemon41625, 2020:2356/3/3:235678/3678/3:5:-2:0:7:9:.2A$3A$.AB.A$.A.B.BA$2.A.ABA$.A.B.BA$.AB.A$3A$.2A!
:Lemon41625, 2020:0256/246/3:02568/2468/3:6:0:-4:35:28:4.3A21.3A$3.B.A.A19.A.A.B$4.BA10.A.A10.AB$2.2AB8.A.B3AB.A8.B2A$3.2B4A4.AB5.BA4.4A2B$3.A.3B3.A2.2AB.B2A2.A3.3B.A$4.3A.A2.2A.2B3A2B.2A2.A.3A$5.B.BA3.A.B.3A.B.A3.AB.B$7.3A2.2AB2AB2AB2A2.3A$5.3A.A2B2.A.A.A.A2.2BA.3A$4.2B.A.A.2B.3A.3A.2B.A.A.2B$5.A2.A.B2.A3.A3.A2.B.A2.A$5.2B.2ABAB.A.A.A.A.BAB2A.2B$2.A4.A2.BAB2.A3.A2.BAB2.A4.A$.A2B2A2B2.15A2.2B2A2BA$AB.A3.2A.A.BA3BA3BAB.A.2A3.A.BA$B.4A.A2B15.2BA.4A.B$.A2.B3.BA2B11.2BAB3.B2.A$5.A2.A.2B2A7.2A2B.A2.A$6.A.BA.B11.B.AB.A$9.A2BA9.A2BA$8.A.BA11.AB.A$10.B2.A7.A2.B$12.A.BA3.AB.A$10.3B.A.A.A.A.3B$10.A2.BA.3A.AB2.A$13.3A3.3A$10.A3.A5.A3.A!
:Lemon41625, 2020:246/34/3:024678/345678/3:4:0:-2:4:4:4A$B2AB$2ABA$3.B!
:Lemon41625, 2020:0246/347/3:02468/3478/3:4:0:-1:15:20:2.2A7.2A$.2B2A5.2A2B$3ABA5.AB3A$B2.BA5.AB2.B$3.B2.A.A2.B$5.2AB2A$3.A2.BAB2.A$5.A.B.A$2.B.3A.3A.B$.AB2.2BA2B2.BA$.ABABAB.BABABA$3A.3A.3A.3A$.A3.A.A.A3.A$2.BAB.3A.BAB$3.B2A3.2AB$3.A.AB.BA.A$3.B.2A.2A.B$3.A.5A.A$4.2B.A.2B$7.A!
:Lemon41625, 2020:2/2/3:245678/25678/3:2:0:-1:18:16:3.A10.A$.AB.BA6.AB.BA$2A3.2A4.2A3.2A$B.ABA.B4.B.ABA.B$6.2A2.2A$3.2BAB4.BA2B$7.B2.B$4.BA.A2.A.AB$2.A3.B4.B3.A$.2AB3.4A3.B2A$.B.A4.2B4.A.B$8.2A2$6.2A2.2A$5.AB4.BA$7.B2.B!
:Lemon41625, 2020:0246/347/3:02468/3478/3:6:0:-2:14:17:5.B3A$2.3A2.2AB$.A2BA.6A$2.A2.BA.AB3A$2.4A.3A.BA$2.A.A.BA3.3A$.A.B2AB3.A.B$BA.B3A2.ABA$2.2BA4.BA$8.BA$7.B2A$2.B3A.B.A$3.B4AB$3.2AB2.AB$4.A.BABA$3.ABA.A$3.ABAB3A!
:Lemon41625, 2020:14/24/3:14678/24678/3:2:0:-1:13:23:.A4.A4.A$A.A2.A.A2.A.A$.A4.A4.A$.2AB.B.B.B2A$B.2ABA.AB2A.B$AB2.A3BA2.BA$2.B7.B$.BA2B3A2BAB$.AB2.B.B2.BA$2.4A.4A$.B.2A.B.2A.B$3.B.3A.B$4.2AB2A2$3.BABABAB$3.A.A.A.A$4.A3.A$3.B.ABA.B$2.A.2B.2B.A$2.B7AB$.2A7.2A$.B9.B$2.AB5.BA!
:Lemon41625, 2020:035678/34/3:035678/348/3:4:0:-2:13:13:.A9.A$4A.3A.4A$B2A.B3AB.2AB$13A$.BA2.3A2.AB$A2.7A2.A$2BAB.3A.BA2B$A.2A.3A.2A.A$2B.B5AB.2B$5.3A$4.AB2ABA$3.2A.A.2B$5.B.B!
:Lemon41625, 2020:03567/34/3:035678/3478/3:2:0:-1:13:13:3A.4A$3AB.AB.2A$.4A2.2B2A$AB.B.B2A.2BA$3A4.3A.2A$.B4.3A.BAB$5.AB2.B.BA$.3AB3AB3A$.3A2.B3.A.A$2.2AB4.B2A$3A8.B$2.2A$.2B!
:Lemon41625, 2020:35678/34/3:035678/348/3:4:0:-1:8:7:2.2A$.4A$6A$B3A.2A$2.B2.3A$.2A.B3A$2.B4A!
:Lemon41625, 2020:0/2/3:0345678/25678/3:2:0:-1:7:7:.A$A.A2$.2B2A2$.A4BA$.B4.B!
:Lemon41625, 2020:0/2/3:0345678/25678/3:2:0:-1:8:6:.A4.A$A.A2.A.A$3.2A$.2B2.2B$3.2A$2.A2.A!
:Lemon41625, 2020:035/2/3:03578/28/3:3:1:0:40:30:32.B.A.BA$33.AB.B$2.AB29.B4.B$2.B.A26.B2.2ABA.A$4.B2.A11.AB9.2B2.AB2.B$2.AB.2AB11.B3.BA6.A.A.2A$2.AB.B.A8.A3.A.AB9.3A$2.2A2B11.2AB.A.3A2.A3.BA.A$.3A.AB2.BA4.2AB2.A.3A8.B4A$3.A.AB.AB3.AB.B3.B.B.B.A.B.A.B2A$2B.A3.A2.2A.AB2.A2B2.B.A.A.2A2B.A$.B2.A2.AB3.A.2A4.2A2.2B3.A2.B2.A$13.A2.3A2.A.A2.A.A.2A2.3A$16.A6.B.B.4A3.AB$15.AB.B.2A2.A.B2.A3.AB$15.AB.B.2A2.A.B2.A3.AB$16.A6.B.B.4A3.AB$13.A2.3A2.A.A2.A.A.2A2.3A$.B2.A2.AB3.A.2A4.2A2.2B3.A2.B2.A$2B.A3.A2.2A.AB2.A2B2.B.A.A.2A2B.A$3.A.AB.AB3.AB.B3.B.B.B.A.B.A.B2A$.3A.AB2.BA4.2AB2.A.3A8.B4A$2.2A2B11.2AB.A.3A2.A3.BA.A$2.AB.B.A8.A3.A.AB9.3A$2.AB.2AB11.B3.BA6.A.A.2A$4.B2.A11.AB9.2B2.AB2.B$2.B.A26.B2.2ABA.A$2.AB29.B4.B$33.AB.B$32.B.A.BA!
:Lemon41625, 2020:035678/34/3:035678/348/3:5:0:-1:20:20:.2A14.2A$4A12.4A$B3A12.3AB$ABA.2A8.2A.ABA$.A.2A.B6.B.2A.A$2.B3A8.3AB$4.5A2.5A$4.3AB.2A.B3A$2.5A2.2A2.5A$4.4A4.4A$3.B.2A6.2A.B$3.A.2A.4B.2A.A$3.14A$2.5A.B2AB.5A$3.B4AB2AB4AB$4.4A.2A.4A$2.B.3A.4A.3A.B$3.BAB2.4A2.BAB$.A2.A3.4B3.A2.A$3.A5.2A5.A!
:Lemon41625, 2020:4/24/3:014678/2345678/3:1:0:-1:6:4:2.2A$6A$BA2BAB$.B2.B!
:Lemon41625, 2020:135/345/3:135678/345678/3:2:0:-1:4:4:.A$4A$2.2A$AB.B!
:Lemon41625, 2020:236/35/3:23678/3578/3:4:-1:-1:9:9:.2A$2A.A3.A$.A.2A.ABA$.A2B2.ABA$2.BAB$3.2B$2.2A$2.2A$3.B!
:Lemon41625, 2020:135/3/3:13568/3678/3:2:0:-1:5:6:2.A$.3A$.ABA$AB.AB$B.A$2.B!
:Lemon41625, 2020:35/235/3:0135678/2345678/3:1:0:-1:7:5:2.3A$.2AB2A$3A.3A$3BA3B$3.B!
:Lemon41625, 2020:35/23/3:0135678/2345678/3:1:0:-1:10:6:2.2A2.2A$.2AB2.B2A$3A4.3A$3BA2.A3B$3.B2AB$4.2B!
:Lemon41625, 2020:235/34/3:0235678/34678/3:2:0:-1:9:9:3.A$.5A$.2A2.2A$A3.A.BA$.B2.BA.2A$.2A3.BAB$.AB3.3A$A.A3.A.B$.B4.BA!
:Lemon41625, 2020:235/3467/3:2358/34678/3:4:0:-2:15:9:2.A9.A$.4A5.4A$2A2.B2A.2ABA2.A$3B5A.A.4A$4BAB2A3.B$A2B.4A.ABA$2.A3.A.3BA$3.B3.A.2A$4.B!
:Lemon41625, 2020:4/23/3:014678/2345678/3:1:0:-1:6:4:2.2A$.4A$2A2B2A$2B2.2B!
:Lemon41625, 2020:235/346/3:2358/345678/3:3:0:-1:6:5:.4A$6A$A4.A$.4A$2.2A!
